PS,NPS,PS concentration,NPS concentration,SPC concentration,Phase behaviour,Phase boundary,Set,Molecular.volume..A3._PS,XlogP3_PS,Hydrogen.Bond.Donor.Count_PS,Hydrogen.Bond.Acceptor.Count_PS,AmphM_PS,J_dragon_PS,MPC05_dragon_PS,IDDE_dragon_PS,BIC0_dragon_PS,CIC3_dragon_PS,GGI4_dragon_PS,SPAM_dragon_PS,MEcc_dragon_PS,P2u_dragon_PS,E1u_dragon_PS,L1v_dragon_PS,L3s_dragon_PS,De_dragon_PS,Ds_dragon_PS,nOHs_dragon_PS,C.001_dragon_PS,H.052_dragon_PS,ALOGP2_dragon_PS,B03.O.O._dragon_PS,F01.C.C._dragon_PS,VC.3_padel_PS,ASP.4_padel_PS,VE1_D_padel_PS,PPSA.1_padel_PS,DPSA.3_padel_PS,FNSA.2_padel_PS,WNSA.1_padel_PS,MOMI.XY_padel_PS,geomRadius_padel_PS,Molecular.volume..A3._NPS,Hydrogen.Bond.Acceptor.Count_NPS,AmphM_NPS,X0A_dragon_NPS,Yindex_dragon_NPS,IC2_dragon_NPS,SIC3_dragon_NPS,IC4_dragon_NPS,DISPv_dragon_NPS,L1u_dragon_NPS,G2u_dragon_NPS,G2m_dragon_NPS,E2e_dragon_NPS,G3s_dragon_NPS,E2s_dragon_NPS,Dm_dragon_NPS,nCconj_dragon_NPS,C.003_dragon_NPS,H.052_dragon_NPS,Depressant.80_dragon_NPS,PetitjeanNumber_padel_NPS,JGI8_padel_NPS,JGI9_padel_NPS,WNSA.1_padel_NPS
PG,EC,0.05,0.9,0.05,Microemulsion,Boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
PG,EC,0.1,0.85,0.05,Nonmicroemulsion,Boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
PG,EC,0.15,0.8,0.05,Nonmicroemulsion,Boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
PG,EC,0.2,0.75,0.05,Nonmicroemulsion,Boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
PG,EC,0.25,0.7,0.05,Nonmicroemulsion,Non-boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
PG,EC,0.3,0.65,0.05,Nonmicroemulsion,Non-boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
PG,EC,0.35,0.6,0.05,Nonmicroemulsion,Non-boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
PG,EC,0.4,0.55,0.05,Nonmicroemulsion,Non-boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
PG,EC,0.45,0.5,0.05,Nonmicroemulsion,Non-boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
PG,EC,0.5,0.45,0.05,Nonmicroemulsion,Non-boundary,Training,-0.269146878,-0.211317601,0.544627997,-0.764719113,-0.36342974,0.369056254,-0.807547455,0.395997735,-0.40736042,-0.374983763,-0.451231317,-1.346613035,-1.833333333,0.416817784,-0.985705562,-0.415680671,-0.05163229,-0.925209252,-1.053332497,1.333333333,1.054092553,0.923564149,0.065511582,0.666666667,-0.365522705,0.961552663,-1.176902413,1.051838785,-1.123602035,-1.271037114,0.730209395,-1.540378514,0.256467915,-0.504649752,-0.685683907,-0.577350269,-0.148275557,1.015687201,0.574038285,0.055699948,0.774593803,0.204952335,-0.268964744,0.287875145,0.138842488,3.194519089,0.307519527,-0.577528293,-0.087570786,-0.595056399,-0.359937017,-0.409673245,1.011710407,-0.526234812,0.401897717,0.091850032,1.488630981,-1.286899156
