"Model","AUC_testing","Accuracy_testing","Kappa_testing","Sensitivity_testing","Specificity_testing","Precision_testing","Recall_testing","F1_testing","AUC_validation","Accuracy_validation","Kappa_validation","Sensitivity_validation","Specificity_validation","Precision_validation","Recall_validation","F1_validation"
"Logistic regression",0.813918730100557,0.813874788494078,0.627765562731895,0.819727891156463,0.808080808080808,0.808724832214765,0.819727891156463,0.814189189189189,0.603326612903226,0.606382978723404,0.190786412284784,0.441860465116279,0.745098039215686,0.59375,0.441860465116279,0.506666666666667
"Logistic regression",0.814082586677055,0.813874788494078,0.6277911370663,0.826530612244898,0.801346801346801,0.804635761589404,0.826530612244898,0.815436241610738,0.791666666666667,0.612462006079027,0.163701067615659,0.152823920265781,1,1,0.152823920265781,0.265129682997118
"Logistic regression",0.817431900343089,0.815566835871404,0.631269854898257,0.853741496598639,0.777777777777778,0.79179810725552,0.853741496598639,0.821603927986907,0.708623693379791,0.624620060790274,0.198439549817027,0.229235880398671,0.957983193277311,0.821428571428571,0.229235880398671,0.358441558441558
"Logistic regression",0.813177537896187,0.812182741116751,0.624465472530869,0.840136054421769,0.784511784511784,0.794212218649518,0.840136054421769,0.816528925619835,0.649277151823841,0.565349544072948,0.0580898325275033,0.0764119601328904,0.977591036414566,0.741935483870968,0.0764119601328904,0.13855421686747
"Logistic regression",0.842636280348145,0.842639593908629,0.685276484634016,0.843537414965986,0.841750841750842,0.840677966101695,0.843537414965986,0.842105263157895,0.73093196112064,0.626139817629179,0.199695438499343,0.215946843853821,0.971988795518207,0.866666666666667,0.215946843853821,0.345744680851064
"Logistic regression",0.803727668346312,0.803722504230118,0.607448380114749,0.806122448979592,0.801346801346801,0.800675675675676,0.806122448979592,0.803389830508475,0.794069192751236,0.620060790273556,0.181241725315309,0.169435215946844,1,1,0.169435215946844,0.289772727272727
"Logistic regression",0.830910652920962,0.830795262267343,0.661616682125803,0.840136054421769,0.821548821548822,0.823333333333333,0.840136054421769,0.831649831649832,0.795964600271003,0.661094224924012,0.275924006908463,0.26578073089701,0.994397759103641,0.975609756097561,0.26578073089701,0.417754569190601
"Logistic regression",0.808981294700165,0.808798646362098,0.617541448329181,0.795918367346939,0.821548821548822,0.815331010452962,0.795918367346939,0.805507745266781,0.798686778337941,0.667173252279635,0.289697053343455,0.27906976744186,0.994397759103641,0.976744186046512,0.27906976744186,0.434108527131783
"Logistic regression",0.814207775536402,0.813874788494078,0.627803922915736,0.829931972789116,0.797979797979798,0.802631578947368,0.829931972789116,0.816053511705686,0.757478698285597,0.64741641337386,0.247325188099675,0.255813953488372,0.977591036414566,0.905882352941176,0.255813953488372,0.398963730569948
"Logistic regression",0.817254174397032,0.817258883248731,0.634508348794063,0.816326530612245,0.818181818181818,0.816326530612245,0.816326530612245,0.816326530612245,0.792144026186579,0.613981762917933,0.167213114754098,0.156146179401993,1,1,0.156146179401993,0.270114942528736
"Logistic regression",0.822356215213358,0.822335025380711,0.644679206390106,0.826530612244898,0.818181818181818,0.818181818181818,0.826530612244898,0.822335025380711,0.706328877255305,0.632218844984802,0.217044124733255,0.255813953488372,0.949579831932773,0.810526315789474,0.255813953488372,0.388888888888889
"Logistic regression",0.817273331195309,0.817258883248731,0.634495791101185,0.812925170068027,0.821548821548822,0.818493150684932,0.812925170068027,0.815699658703072,0.792144026186579,0.613981762917933,0.167213114754098,0.156146179401993,1,1,0.156146179401993,0.270114942528736
"Logistic regression",0.817468319622356,0.817258883248731,0.634558570937822,0.829931972789116,0.804713804713805,0.80794701986755,0.829931972789116,0.818791946308725,0.548526200873362,0.557750759878419,0.0849668829865525,0.348837209302326,0.733893557422969,0.525,0.348837209302326,0.419161676646707
"Logistic regression",0.8178062383805,0.817258883248731,0.634432989690722,0.795918367346939,0.838383838383838,0.829787234042553,0.795918367346939,0.8125,0.574655170311109,0.577507598784195,0.118056024299696,0.315614617940199,0.798319327731092,0.568862275449102,0.315614617940199,0.405982905982906
