"Model","AUC_testing","Accuracy_testing","Kappa_testing","Sensitivity_testing","Specificity_testing","Precision_testing","Recall_testing","F1_testing","AUC_validation","Accuracy_validation","Kappa_validation","Sensitivity_validation","Specificity_validation","Precision_validation","Recall_validation","F1_validation"
"Logistic regression",0.832862183282748,0.833073322932917,0.665858151579832,0.831315577078289,0.834716981132075,0.824659727782226,0.831315577078289,0.827974276527331,0.539837299372704,0.538785538785539,0.0794780574839039,0.554424432263117,0.526081424936387,0.487267721954577,0.554424432263117,0.518681318681319
"Logistic regression",0.828231643819506,0.828393135725429,0.656345706179478,0.82001614205004,0.83622641509434,0.824006488240065,0.82001614205004,0.822006472491909,0.577924932039138,0.586521586521586,0.143050252300734,0.407987470634299,0.731552162849873,0.552492046659597,0.407987470634299,0.469369369369369
"Logistic regression",0.82722698344526,0.827223088923557,0.653848451196633,0.811945117029863,0.841509433962264,0.827302631578947,0.811945117029863,0.819551934826884,0.615803452413798,0.62021762021762,0.213360593949348,0.448707909162099,0.759541984732824,0.602523659305994,0.448707909162099,0.514362657091562
"Logistic regression",0.813414883145458,0.813572542901716,0.626627346922611,0.803066989507668,0.823396226415094,0.80960130187144,0.803066989507668,0.806320907617504,0.568532379247901,0.577395577395577,0.131204001400125,0.440093970242756,0.688931297709924,0.534728829686013,0.440093970242756,0.482817869415808
"Logistic regression",0.823694762212385,0.823712948517941,0.646825283151575,0.808716707021792,0.837735849056604,0.823336072308956,0.808716707021792,0.815960912052117,0.522794605361575,0.53001053001053,0.045274022433543,0.450274079874706,0.594783715012723,0.474422442244224,0.450274079874706,0.462032944957814
"Logistic regression",0.819926625512318,0.8198127925117,0.638917051098611,0.800645682001614,0.837735849056604,0.821872410936205,0.800645682001614,0.811120196238757,0.562473813713615,0.572481572481572,0.11687872104665,0.409553641346907,0.704834605597964,0.529888551165147,0.409553641346907,0.462014134275618
"Logistic regression",0.826373281287371,0.826053042121685,0.652278937276392,0.845036319612591,0.808301886792453,0.804765564950038,0.845036319612591,0.824409448818898,0.645964735846788,0.640926640926641,0.248046991403124,0.415035238841034,0.824427480916031,0.657568238213399,0.415035238841034,0.508881421027364
"Logistic regression",0.841853216105008,0.84204368174727,0.683756404540371,0.837772397094431,0.846037735849057,0.835748792270531,0.837772397094431,0.836759371221282,0.607342623341712,0.605826605826606,0.167700853493538,0.333594361785435,0.826972010178117,0.610315186246418,0.333594361785435,0.431392405063291
"Logistic regression",0.828615907678434,0.828783151326053,0.657135720638943,0.820823244552058,0.83622641509434,0.824149108589951,0.820823244552058,0.822482814395471,0.579225935480817,0.587574587574588,0.149652260655019,0.436178543461237,0.710559796437659,0.550395256916996,0.436178543461237,0.486675404106597
"Logistic regression",0.818048030213045,0.818252730109204,0.636096060426089,0.811945117029863,0.824150943396226,0.811945117029863,0.811945117029863,0.811945117029863,0.610489409519505,0.610740610740611,0.182218802226862,0.364917776037588,0.810432569974555,0.609947643979058,0.364917776037588,0.456638902498775
"Logistic regression",0.821164995678637,0.821372854914197,0.642362073407761,0.815980629539952,0.826415094339623,0.814665592264303,0.815980629539952,0.815322580645161,0.57949883999451,0.587925587925588,0.146602920719678,0.413469068128426,0.729643765903308,0.554039874081847,0.413469068128426,0.473542600896861
"Logistic regression",0.832885315302968,0.833073322932917,0.665770630605936,0.8272800645682,0.838490566037736,0.8272800645682,0.8272800645682,0.8272800645682,0.677074357317248,0.63952263952264,0.228788963853605,0.304620203602193,0.911577608142494,0.736742424242424,0.304620203602193,0.431024930747922
"Logistic regression",0.821201092178953,0.821372854914197,0.642287121432275,0.812752219531881,0.829433962264151,0.816707218167072,0.812752219531881,0.814724919093851,0.57038004639284,0.57985257985258,0.128900403920117,0.398590446358653,0.727099236641221,0.542643923240938,0.398590446358653,0.459593679458239
