"Model","AUC_testing","Accuracy_testing","Kappa_testing","Sensitivity_testing","Specificity_testing","Precision_testing","Recall_testing","F1_testing","AUC_validation","Accuracy_validation","Kappa_validation","Sensitivity_validation","Specificity_validation","Precision_validation","Recall_validation","F1_validation"
"RF 1",0.952731624920164,0.952418096723869,0.904674080850646,0.941888619854721,0.962264150943396,0.958915365653246,0.941888619854721,0.950325732899023,0.86415250838008,0.863811863811864,0.723370924182334,0.823022709475333,0.896946564885496,0.866446826051113,0.823022709475333,0.844176706827309
"RF 1",0.941153203885862,0.941107644305772,0.882054825234815,0.935431799838579,0.946415094339623,0.942276422764228,0.935431799838579,0.938841636289996,0.800984725439554,0.802035802035802,0.603105136249857,0.823805794831637,0.784351145038168,0.756290438533429,0.823805794831637,0.788605697151424
"RF 1",0.939939297663856,0.9399375975039,0.879720997162817,0.935431799838579,0.944150943396226,0.939983779399838,0.935431799838579,0.937702265372168,0.770335703875185,0.771849771849772,0.536232631732372,0.716523101018011,0.816793893129771,0.760598503740648,0.716523101018011,0.737903225806452
"RF 1",0.954578992685027,0.954368174726989,0.908592858744723,0.94592413236481,0.962264150943396,0.959083469721768,0.94592413236481,0.95245835026412,0.840001349682825,0.841347841347841,0.678737490638405,0.814408770555991,0.86323155216285,0.828685258964143,0.814408770555991,0.821484992101106
"RF 1",0.939765076112412,0.939547581903276,0.87889872249762,0.929782082324455,0.948679245283019,0.944262295081967,0.929782082324455,0.936966246441643,0.867596359027399,0.867672867672868,0.731471210245002,0.832419733750979,0.896310432569975,0.867047308319739,0.832419733750979,0.84938074310827
"RF 1",0.949532762617114,0.949687987519501,0.899307479393037,0.954802259887006,0.944905660377358,0.94187898089172,0.954802259887006,0.948296593186373,0.756975346206937,0.759213759213759,0.515274065116104,0.754111198120595,0.763358778625954,0.721348314606742,0.754111198120595,0.737366003062787
"RF 1",0.947374322374322,0.947347893915757,0.89455785214095,0.942695722356739,0.951698113207547,0.948051948051948,0.942695722356739,0.945366248482396,0.78897369557124,0.791154791154791,0.579359011675877,0.787000783085356,0.794529262086514,0.756777108433735,0.787000783085356,0.771593090211132
"RF 1",0.953506374229258,0.953588143525741,0.907079042321739,0.95318805488297,0.953962264150943,0.950885668276973,0.95318805488297,0.952035469568722,0.846604092838466,0.840996840996841,0.674505357206359,0.756460454189507,0.909669211195929,0.871841155234657,0.756460454189507,0.810062893081761
"RF 1",0.945608710314593,0.945397815912636,0.890621067328254,0.936238902340597,0.953962264150943,0.95004095004095,0.936238902340597,0.943089430894309,0.812679916702395,0.811512811512812,0.615635770818464,0.743931088488645,0.866412213740458,0.818965517241379,0.743931088488645,0.779647107098892
"RF 1",0.957705966861879,0.957488299531981,0.914842919685254,0.949152542372881,0.965283018867925,0.962356792144026,0.949152542372881,0.955709061357172,0.805898711360739,0.808002808002808,0.611929508963779,0.787000783085356,0.825063613231552,0.78515625,0.787000783085356,0.786077434493547
"RF 5",0.959724437423569,0.959438377535101,0.918742819879145,0.949959644874899,0.968301886792453,0.965545529122231,0.949959644874899,0.957689178193653,0.843811641075284,0.843102843102843,0.680811356321712,0.791699295223179,0.884860050890585,0.848154362416107,0.791699295223179,0.818955042527339
"RF 5",0.964936814608046,0.964898595943838,0.929707076263984,0.961259079903148,0.968301886792453,0.965936739659367,0.961259079903148,0.963592233009709,0.816131786859926,0.818181818181818,0.633821709342499,0.817541111981206,0.818702290076336,0.785553047404063,0.817541111981206,0.801227935533385
"RF 5",0.959818643506063,0.959828393135725,0.91955997577893,0.957223567393059,0.962264150943396,0.959546925566343,0.957223567393059,0.958383838383838,0.821086782704963,0.818883818883819,0.630255727690604,0.746280344557557,0.877862595419847,0.832314410480349,0.746280344557557,0.786952931461602
"RF 5",0.969568668637629,0.969578783151326,0.939085849137634,0.96771589991929,0.971320754716981,0.96928051738076,0.96771589991929,0.968497576736672,0.835229989307164,0.83011583011583,0.652205013294699,0.743931088488645,0.900127226463104,0.858175248419151,0.743931088488645,0.796979865771812
"RF 5",0.95889933120015,0.958658346333853,0.917184522405678,0.949959644874899,0.966792452830189,0.963963963963964,0.949959644874899,0.956910569105691,0.822936058469334,0.823797823797824,0.642357334085529,0.782302270947533,0.857506361323155,0.816843826655764,0.782302270947533,0.7992
"RF 5",0.965111890358972,0.964898595943838,0.929688656887593,0.957223567393059,0.972075471698113,0.969746524938675,0.957223567393059,0.963444354183591,0.815137483077971,0.817128817128817,0.630320959219044,0.796397807361002,0.833969465648855,0.795774647887324,0.796397807361002,0.796086105675147
"RF 5",0.95392632524708,0.953978159126365,0.90785265049416,0.952380952380952,0.955471698113208,0.952380952380952,0.952380952380952,0.952380952380952,0.808729228679084,0.809406809406809,0.612661723014074,0.759592795614722,0.849872773536896,0.804311774461028,0.759592795614722,0.781312927909787
"RF 5",0.960599680274496,0.960608424336973,0.921121917996815,0.958030669895077,0.963018867924528,0.960355987055016,0.958030669895077,0.959191919191919,0.831272112768097,0.829413829413829,0.652113853045091,0.763508222396241,0.88295165394402,0.841242450388266,0.763508222396241,0.800492610837438
