PS,NPS,PS concentration,NPS concentration,SPC concentration,Phase behaviour,Phase boundary,Set,Diagram type
PG,EC,0.025,0.95,0.025,Microemulsion,Boundary,Training,Ternary
PG,EC,0.05,0.925,0.025,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.075,0.9,0.025,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.1,0.875,0.025,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.125,0.85,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.15,0.825,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.175,0.8,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.2,0.775,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.225,0.75,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.25,0.725,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.275,0.7,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.3,0.675,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.325,0.65,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.35,0.625,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.375,0.6,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.4,0.575,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.425,0.55,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.45,0.525,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.475,0.5,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.5,0.475,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.525,0.45,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.55,0.425,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.575,0.4,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.6,0.375,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.625,0.35,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.65,0.325,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.675,0.3,0.025,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.7,0.275,0.025,Non-microemulsion,Non-boundary,Training,Ternary
