PS,NPS,PS concentration,NPS concentration,SPC concentration,Phase behaviour,Phase boundary,Set,Diagram type
PG,EC,0.05,0.9,0.05,Microemulsion,Boundary,Training,Ternary
PG,EC,0.1,0.85,0.05,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.15,0.8,0.05,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.2,0.75,0.05,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.25,0.7,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.3,0.65,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.35,0.6,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.4,0.55,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.45,0.5,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.5,0.45,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.55,0.4,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.6,0.35,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.65,0.3,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.7,0.25,0.05,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.75,0.2,0.05,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.8,0.15,0.05,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.85,0.1,0.05,Microemulsion,Boundary,Training,Ternary
PG,EC,0.9,0.05,0.05,Microemulsion,Non-boundary,Training,Ternary
PG,EC,0.05,0.85,0.1,Microemulsion,Boundary,Training,Ternary
PG,EC,0.1,0.8,0.1,Microemulsion,Boundary,Training,Ternary
PG,EC,0.15,0.75,0.1,Microemulsion,Boundary,Training,Ternary
PG,EC,0.2,0.7,0.1,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.25,0.65,0.1,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.3,0.6,0.1,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.35,0.55,0.1,Non-microemulsion,Boundary,Training,Ternary
PG,EC,0.4,0.5,0.1,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.45,0.45,0.1,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.5,0.4,0.1,Non-microemulsion,Non-boundary,Training,Ternary
PG,EC,0.55,0.35,0.1,Non-microemulsion,Non-boundary,Training,Ternary
