PS,NPS,PS %,SPC %,NPS %,PS concentration,SPC concentration,NPS concentration
PG,IPM,0,0,100,0,0,1
PG,IPM,8.562,4.5865,86.8515,0.08562,0.045865,0.868515
PG,IPM,15.3361,8.6528,76.0111,0.153361,0.086528,0.760111
PG,IPM,20.8458,12.1,67.0542,0.208458,0.121,0.670542
PG,IPM,25.8532,14.9553,59.1915,0.258532,0.149553,0.591915
PG,IPM,30.6624,17.3033,52.0343,0.306624,0.173033,0.520343
PG,IPM,35.4569,19.3662,45.177,0.354569,0.193662,0.45177
PG,IPM,38.5157,20.8232,40.6611,0.385157,0.208232,0.406611
PG,IPM,40.0706,21.0789,38.8505,0.400706,0.210789,0.388505
PG,IPM,45.0197,22.0617,32.9185,0.450197,0.220617,0.329185
PG,IPM,55.5086,23.7477,20.7437,0.555086,0.237477,0.207437
PG,IPM,64.694,21.7033,13.6026,0.64694,0.217033,0.136026
PG,IPM,72.024,17.9881,9.9879,0.72024,0.179881,0.099879
PG,IPM,79.1324,13.9613,6.9063,0.791324,0.139613,0.069063
PG,IPM,85.6167,9.5145,4.8688,0.856167,0.095145,0.048688
PG,IPM,92.4585,4.9141,2.6274,0.924585,0.049141,0.026274
PG,IPM,100,0,0,1,0,0
PG,EC,100,0,0,1,0,0
PG,EC,84.4071,4.5752,11.0177,0.844071,0.045752,0.110177
PG,EC,75.551,8.4647,15.9843,0.75551,0.084647,0.159843
PG,EC,67.3448,11.9535,20.7018,0.673448,0.119535,0.207018
PG,EC,60.8149,15.0495,24.1356,0.608149,0.150495,0.241356
PG,EC,49.9007,16.5574,33.5419,0.499007,0.165574,0.335419
PG,EC,42.3707,17.3377,40.2916,0.423707,0.173377,0.402916
PG,EC,27.9663,14.4722,57.5615,0.279663,0.144722,0.575615
PG,EC,20.8083,11.9271,67.2645,0.208083,0.119271,0.672645
PG,EC,14.4466,8.5903,76.9631,0.144466,0.085903,0.769631
PG,EC,8.4863,4.6106,86.9031,0.084863,0.046106,0.869031
PG,EC,0,0,100,0,0,1
PG,GTC,0,0,100,0,0,1
PG,GTC,10.265,8.9713,80.7637,0.10265,0.089713,0.807637
PG,GTC,18.3064,16.4518,65.2418,0.183064,0.164518,0.652418
PG,GTC,28.3449,21.5623,50.0929,0.283449,0.215623,0.500929
PG,GTC,36.7527,23.8296,39.4176,0.367527,0.238296,0.394176
PG,GTC,67.3103,16.8234,15.8664,0.673103,0.168234,0.158664
PG,GTC,84.1771,9.4564,6.3666,0.841771,0.094564,0.063666
PG,GTC,100,0,0,1,0,0
PG,GTO,16.677,45.5067,37.8163,0.16677,0.455067,0.378163
PG,GTO,14.8176,38.3873,46.795,0.148176,0.383873,0.46795
PG,GTO,11.1734,30.9632,57.8634,0.111734,0.309632,0.578634
PG,GTO,8.6733,22.8351,68.4916,0.086733,0.228351,0.684916
PG,GTO,5.8135,14.2138,79.9727,0.058135,0.142138,0.799727
PG,GTO,3.1652,4.9435,91.8914,0.031652,0.049435,0.918914
